Número de documentos del corpus:3303
Número de palabras del corpus:48151
Palabra:addressed  Frec:2  LogProb:-10.25199422680701
Palabra:admire  Frec:3  LogProb:-9.846529118698847
Palabra:admit  Frec:5  LogProb:-9.335703494932854
Palabra:Adobe  Frec:2  LogProb:-10.25199422680701
Palabra:adopted  Frec:4  LogProb:-9.558847046247065
Palabra:ADORABLE  Frec:2  LogProb:-10.25199422680701
Palabra:ads  Frec:5  LogProb:-9.335703494932854
Palabra:adults  Frec:3  LogProb:-9.846529118698847
Palabra:advantage  Frec:2  LogProb:-10.25199422680701
Palabra:adventure  Frec:2  LogProb:-10.25199422680701
Palabra:advertisements  Frec:2  LogProb:-10.25199422680701
Palabra:advice  Frec:2  LogProb:-10.25199422680701
Palabra:AE  Frec:3  LogProb:-9.846529118698847
Palabra:affect  Frec:4  LogProb:-9.558847046247065
Palabra:affidavit  Frec:3  LogProb:-9.846529118698847
Palabra:Affliction  Frec:2  LogProb:-10.25199422680701
Palabra:afford  Frec:3  LogProb:-9.846529118698847
Palabra:afraid  Frec:3  LogProb:-9.846529118698847
Palabra:after  Frec:3  LogProb:-9.846529118698847
Palabra:afterward  Frec:3  LogProb:-9.846529118698847
Palabra:afterwards  Frec:2  LogProb:-10.25199422680701
Palabra:again  Frec:3  LogProb:-9.846529118698847
Palabra:AGAINST  Frec:7  LogProb:-8.999231258311642
Palabra:age  Frec:8  LogProb:-8.86569986568712
Palabra:agency  Frec:2  LogProb:-10.25199422680701
Palabra:agent  Frec:2  LogProb:-10.25199422680701
Palabra:aggress  Frec:2  LogProb:-10.25199422680701
Palabra:aggressive  Frec:2  LogProb:-10.25199422680701
Palabra:aggrivation  Frec:2  LogProb:-10.25199422680701
Palabra:ago  Frec:17  LogProb:-8.111928063310739
Palabra:agony  Frec:2  LogProb:-10.25199422680701
Palabra:agree  Frec:15  LogProb:-8.237091206264745
Palabra:agreed  Frec:3  LogProb:-9.846529118698847
Palabra:AH  Frec:10  LogProb:-8.642556314372909
Palabra:aha  Frec:2  LogProb:-10.25199422680701
Palabra:ahah  Frec:2  LogProb:-10.25199422680701
Palabra:ahaha  Frec:6  LogProb:-9.153381938138901
Palabra:Ahahaha  Frec:2  LogProb:-10.25199422680701
Palabra:ahahahaha  Frec:2  LogProb:-10.25199422680701
Palabra:ahahahahaha  Frec:2  LogProb:-10.25199422680701
Palabra:ahead  Frec:2  LogProb:-10.25199422680701
Palabra:ahh  Frec:4  LogProb:-9.558847046247065
Palabra:Ahhh  Frec:2  LogProb:-10.25199422680701
Palabra:Aidan's  Frec:2  LogProb:-10.25199422680701
Palabra:aids  Frec:2  LogProb:-10.25199422680701
Palabra:Aiken  Frec:2  LogProb:-10.25199422680701
Palabra:aim  Frec:2  LogProb:-10.25199422680701
Palabra:ain't  Frec:3  LogProb:-9.846529118698847
Palabra:AINT  Frec:9  LogProb:-8.747916830030736
Palabra:aintchur  Frec:2  LogProb:-10.25199422680701
Palabra:air  Frec:3  LogProb:-9.846529118698847
Palabra:AJ's  Frec:2  LogProb:-10.25199422680701
Palabra:aja  Frec:2  LogProb:-10.25199422680701
Palabra:AJULA  Frec:2  LogProb:-10.25199422680701
Palabra:Al  Frec:3  LogProb:-9.846529118698847
Palabra:Ala-God-Damn-Bama  Frec:2  LogProb:-10.25199422680701
Palabra:Alameda  Frec:2  LogProb:-10.25199422680701
Palabra:Alan  Frec:4  LogProb:-9.558847046247065
Palabra:alarms  Frec:2  LogProb:-10.25199422680701
Palabra:alas  Frec:4  LogProb:-9.558847046247065
Palabra:album  Frec:7  LogProb:-8.999231258311642
Palabra:albums  Frec:2  LogProb:-10.25199422680701
Palabra:alchy  Frec:2  LogProb:-10.25199422680701
Palabra:alcohol  Frec:4  LogProb:-9.558847046247065
Palabra:alergic  Frec:2  LogProb:-10.25199422680701
Palabra:alert  Frec:5  LogProb:-9.335703494932854
Palabra:alexis  Frec:3  LogProb:-9.846529118698847
Palabra:Alexx  Frec:3  LogProb:-9.846529118698847
Palabra:aliea  Frec:2  LogProb:-10.25199422680701
Palabra:alive  Frec:5  LogProb:-9.335703494932854
Palabra:alix  Frec:2  LogProb:-10.25199422680701
Palabra:All  Frec:8  LogProb:-8.86569986568712
