Número de documentos del corpus:6052
Número de palabras del corpus:62887
Palabra:actor/actress  Frec:2  LogProb:-10.48310202697824
Palabra:Acts  Frec:2  LogProb:-10.48310202697824
Palabra:actual  Frec:2  LogProb:-10.48310202697824
Palabra:Actually  Frec:43  LogProb:-7.415049091844623
Palabra:actvities-  Frec:2  LogProb:-10.48310202697824
Palabra:Adam  Frec:2  LogProb:-10.48310202697824
Palabra:adams  Frec:2  LogProb:-10.48310202697824
Palabra:add  Frec:6  LogProb:-9.38448973831013
Palabra:added  Frec:3  LogProb:-10.077636918870075
Palabra:addict  Frec:2  LogProb:-10.48310202697824
Palabra:addicted  Frec:5  LogProb:-9.566811295104085
Palabra:address  Frec:2  LogProb:-10.48310202697824
Palabra:adedd  Frec:2  LogProb:-10.48310202697824
Palabra:Adidas  Frec:3  LogProb:-10.077636918870075
Palabra:administration  Frec:2  LogProb:-10.48310202697824
Palabra:admirer  Frec:2  LogProb:-10.48310202697824
Palabra:admit  Frec:2  LogProb:-10.48310202697824
Palabra:adopt  Frec:4  LogProb:-9.789954846418295
Palabra:adopted  Frec:4  LogProb:-9.789954846418295
Palabra:adorable  Frec:2  LogProb:-10.48310202697824
Palabra:Adriane  Frec:2  LogProb:-10.48310202697824
Palabra:Adrianne  Frec:2  LogProb:-10.48310202697824
Palabra:ads  Frec:3  LogProb:-10.077636918870075
Palabra:adtf  Frec:2  LogProb:-10.48310202697824
Palabra:ADTR  Frec:3  LogProb:-10.077636918870075
Palabra:adult  Frec:2  LogProb:-10.48310202697824
Palabra:adults  Frec:2  LogProb:-10.48310202697824
Palabra:advice  Frec:6  LogProb:-9.38448973831013
Palabra:affect  Frec:2  LogProb:-10.48310202697824
Palabra:afford  Frec:2  LogProb:-10.48310202697824
Palabra:afraid  Frec:12  LogProb:-8.691342557750184
Palabra:afriad  Frec:2  LogProb:-10.48310202697824
Palabra:Africa  Frec:3  LogProb:-10.077636918870075
Palabra:after  Frec:3  LogProb:-10.077636918870075
Palabra:again  Frec:33  LogProb:-7.6797416460717045
Palabra:against  Frec:3  LogProb:-10.077636918870075
Palabra:Age  Frec:11  LogProb:-8.778353934739815
Palabra:ages  Frec:2  LogProb:-10.48310202697824
Palabra:aggravation  Frec:2  LogProb:-10.48310202697824
Palabra:AGIIIINNNN  Frec:2  LogProb:-10.48310202697824
Palabra:ago  Frec:18  LogProb:-8.28587744964202
Palabra:agreat  Frec:2  LogProb:-10.48310202697824
Palabra:agree  Frec:8  LogProb:-9.09680766585835
Palabra:Aguilera  Frec:2  LogProb:-10.48310202697824
Palabra:Ah  Frec:4  LogProb:-9.789954846418295
Palabra:Aha  Frec:3  LogProb:-10.077636918870075
