Número de documentos del corpus:122425
Número de palabras del corpus:18437
Palabra:)-  Frec:1  LogProb:-11.855543065815047
Palabra:)hahagreat  Frec:2  LogProb:-11.162395885255101
Palabra:)r  Frec:3  LogProb:-10.756930777146938
Palabra:)so  Frec:2  LogProb:-11.162395885255101
Palabra:)~  Frec:2  LogProb:-11.162395885255101
Palabra:*  Frec:4  LogProb:-10.469248704695156
Palabra:*$0  Frec:2  LogProb:-11.162395885255101
Palabra:**  Frec:4  LogProb:-10.469248704695156
Palabra:******************MEOWWW*************************  Frec:2  LogProb:-11.162395885255101
Palabra:**bitch***  Frec:1  LogProb:-11.855543065815047
Palabra:**IN**  Frec:1  LogProb:-11.855543065815047
Palabra:**spontaneously  Frec:2  LogProb:-11.162395885255101
Palabra:*-*  Frec:2  LogProb:-11.162395885255101
Palabra:*again*  Frec:1  LogProb:-11.855543065815047
Palabra:*already*  Frec:2  LogProb:-11.162395885255101
Palabra:*always*  Frec:1  LogProb:-11.855543065815047
Palabra:*are*  Frec:2  LogProb:-11.162395885255101
Palabra:*bitch*  Frec:2  LogProb:-11.162395885255101
Palabra:*blinks*  Frec:1  LogProb:-11.855543065815047
Palabra:*buat  Frec:2  LogProb:-11.162395885255101
Palabra:*can*  Frec:2  LogProb:-11.162395885255101
Palabra:*clings*  Frec:2  LogProb:-11.162395885255101
Palabra:*cough*  Frec:3  LogProb:-10.756930777146938
Palabra:*COUGHCOUGH*  Frec:1  LogProb:-11.855543065815047
Palabra:*cut  Frec:1  LogProb:-11.855543065815047
Palabra:*cuts  Frec:2  LogProb:-11.162395885255101
Palabra:*delicious*  Frec:2  LogProb:-11.162395885255101
Palabra:*didn't*  Frec:2  LogProb:-11.162395885255101
Palabra:*eats  Frec:2  LogProb:-11.162395885255101
Palabra:*ever*  Frec:2  LogProb:-11.162395885255101
Palabra:*evil  Frec:1  LogProb:-11.855543065815047
Palabra:*exists*  Frec:2  LogProb:-11.162395885255101
Palabra:*eye  Frec:1  LogProb:-11.855543065815047
Palabra:*FAINTS*  Frec:2  LogProb:-11.162395885255101
Palabra:*falls  Frec:1  LogProb:-11.855543065815047
Palabra:*Feel*  Frec:2  LogProb:-11.162395885255101
Palabra:*forgets  Frec:1  LogProb:-11.855543065815047
Palabra:*gag*  Frec:1  LogProb:-11.855543065815047
Palabra:*gasps*  Frec:2  LogProb:-11.162395885255101
Palabra:*gay*  Frec:1  LogProb:-11.855543065815047
Palabra:*gesticulates  Frec:2  LogProb:-11.162395885255101
Palabra:*giggles  Frec:1  LogProb:-11.855543065815047
Palabra:*goes  Frec:1  LogProb:-11.855543065815047
Palabra:*grumble*  Frec:1  LogProb:-11.855543065815047
Palabra:*grumbles*  Frec:3  LogProb:-10.756930777146938
Palabra:*hehe*  Frec:2  LogProb:-11.162395885255101
Palabra:*HUGS*  Frec:5  LogProb:-10.246105153380947
Palabra:*if*  Frec:2  LogProb:-11.162395885255101
Palabra:*insert  Frec:1  LogProb:-11.855543065815047
Palabra:*it*  Frec:2  LogProb:-11.162395885255101
Palabra:*jaw  Frec:2  LogProb:-11.162395885255101
Palabra:*jealous*  Frec:2  LogProb:-11.162395885255101
Palabra:*just*  Frec:1  LogProb:-11.855543065815047
Palabra:*Kate  Frec:2  LogProb:-11.162395885255101
Palabra:*kicks  Frec:2  LogProb:-11.162395885255101
Palabra:*know*  Frec:2  LogProb:-11.162395885255101
Palabra:*laugh*  Frec:1  LogProb:-11.855543065815047
Palabra:*laughs*  Frec:2  LogProb:-11.162395885255101
Palabra:*lol*  Frec:2  LogProb:-11.162395885255101
