Número de documentos del corpus:6741
Número de palabras del corpus:96146
Palabra:*yawn*  Frec:1  LogProb:-10.133805307598339
Palabra:*you're*  Frec:1  LogProb:-10.133805307598339
Palabra:*you*  Frec:1  LogProb:-10.133805307598339
Palabra:*ywan*  Frec:1  LogProb:-10.133805307598339
Palabra:*z  Frec:4  LogProb:-8.747510946478448
Palabra:+  Frec:16  LogProb:-7.361216585358557
Palabra:+$  Frec:1  LogProb:-10.133805307598339
Palabra:+0  Frec:1  LogProb:-10.133805307598339
Palabra:+1  Frec:1  LogProb:-10.133805307598339
Palabra:+2  Frec:1  LogProb:-10.133805307598339
Palabra:+_+  Frec:4  LogProb:-8.747510946478448
Palabra:+H  Frec:2  LogProb:-9.440658127038393
Palabra:+hrobb  Frec:1  LogProb:-10.133805307598339
Palabra:+prior  Frec:1  LogProb:-10.133805307598339
Palabra:-  Frec:7  LogProb:-8.187895158543025
Palabra:-(  Frec:18  LogProb:-7.243433549702173
Palabra:-)  Frec:41  LogProb:-6.420233240894031
Palabra:--  Frec:16  LogProb:-7.361216585358557
Palabra:---  Frec:5  LogProb:-8.524367395164237
Palabra:--I'm  Frec:1  LogProb:-10.133805307598339
Palabra:--Sam  Frec:1  LogProb:-10.133805307598339
Palabra:--well  Frec:4  LogProb:-8.747510946478448
Palabra:-/  Frec:4  LogProb:-8.747510946478448
Palabra:-0  Frec:1  LogProb:-10.133805307598339
Palabra:-1  Frec:3  LogProb:-9.035193018930228
Palabra:-10  Frec:1  LogProb:-10.133805307598339
Palabra:-5  Frec:4  LogProb:-8.747510946478448
Palabra:-6  Frec:3  LogProb:-9.035193018930228
Palabra:->>  Frec:1  LogProb:-10.133805307598339
Palabra:-_-  Frec:2  LogProb:-9.440658127038393
Palabra:-_-'  Frec:3  LogProb:-9.035193018930228
Palabra:-__-  Frec:1  LogProb:-10.133805307598339
Palabra:-_O  Frec:4  LogProb:-8.747510946478448
Palabra:-AkA-  Frec:1  LogProb:-10.133805307598339
Palabra:-ChloroformGRL  Frec:1  LogProb:-10.133805307598339
Palabra:-D  Frec:11  LogProb:-7.735910034799968
Palabra:-dakota  Frec:1  LogProb:-10.133805307598339
Palabra:-Haa  Frec:1  LogProb:-10.133805307598339
Palabra:-Hellz  Frec:1  LogProb:-10.133805307598339
Palabra:-jack-ass  Frec:1  LogProb:-10.133805307598339
Palabra:-KayCee  Frec:1  LogProb:-10.133805307598339
Palabra:-Kinly  Frec:1  LogProb:-10.133805307598339
Palabra:-NOT-  Frec:1  LogProb:-10.133805307598339
Palabra:-P  Frec:13  LogProb:-7.568855950136801
Palabra:-politicians  Frec:3  LogProb:-9.035193018930228
Palabra:-question-  Frec:1  LogProb:-10.133805307598339
Palabra:-rape-  Frec:1  LogProb:-10.133805307598339
Palabra:-Remz  Frec:1  LogProb:-10.133805307598339
Palabra:-s  Frec:1  LogProb:-10.133805307598339
Palabra:-shame  Frec:4  LogProb:-8.747510946478448
Palabra:-stephanie  Frec:2  LogProb:-9.440658127038393
Palabra:-The  Frec:3  LogProb:-9.035193018930228
Palabra:-there  Frec:1  LogProb:-10.133805307598339
Palabra:-thread  Frec:1  LogProb:-10.133805307598339
Palabra:-with  Frec:1  LogProb:-10.133805307598339
Palabra:-woaahhhhhh  Frec:1  LogProb:-10.133805307598339
Palabra:-}  Frec:4  LogProb:-8.747510946478448
Palabra:/  Frec:24  LogProb:-6.955751477250392
Palabra://refinedgeek  Frec:1  LogProb:-10.133805307598339
Palabra:/AGAIN/  Frec:4  LogProb:-8.747510946478448
Palabra:/deadpoor  Frec:1  LogProb:-10.133805307598339
Palabra:/emo  Frec:4  LogProb:-8.747510946478448
Palabra:/fuck/  Frec:1  LogProb:-10.133805307598339
Palabra:/nerd  Frec:4  LogProb:-8.747510946478448
Palabra:/u00bfPodru00edais  Frec:1  LogProb:-10.133805307598339
Palabra:0(  Frec:3  LogProb:-9.035193018930228
Palabra:0+3RszZ  Frec:2  LogProb:-9.440658127038393
Palabra:00/tweet  Frec:1  LogProb:-10.133805307598339
Palabra:00pm  Frec:1  LogProb:-10.133805307598339
Palabra:0_0  Frec:1  LogProb:-10.133805307598339
Palabra:0_o  Frec:1  LogProb:-10.133805307598339
Palabra:0F  Frec:2  LogProb:-9.440658127038393
Palabra:0N  Frec:1  LogProb:-10.133805307598339
Palabra:0rq  Frec:1  LogProb:-10.133805307598339
Palabra:0the  Frec:1  LogProb:-10.133805307598339
Palabra:0u$  Frec:1  LogProb:-10.133805307598339
Palabra:1-10  Frec:1  LogProb:-10.133805307598339
Palabra:1-5  Frec:1  LogProb:-10.133805307598339
Palabra:1-800-  Frec:1  LogProb:-10.133805307598339
Palabra:1/10  Frec:3  LogProb:-9.035193018930228
Palabra:1/2  Frec:4  LogProb:-8.747510946478448
Palabra:1/3  Frec:1  LogProb:-10.133805307598339
Palabra:100$  Frec:4  LogProb:-8.747510946478448
Palabra:100%  Frec:6  LogProb:-8.342045838370282
Palabra:1000+questions  Frec:1  LogProb:-10.133805307598339
Palabra:10000%  Frec:2  LogProb:-9.440658127038393
Palabra:100s  Frec:1  LogProb:-10.133805307598339
Palabra:101s  Frec:1  LogProb:-10.133805307598339
Palabra:10ish  Frec:1  LogProb:-10.133805307598339
Palabra:10lbs  Frec:3  LogProb:-9.035193018930228
Palabra:10th  Frec:1  LogProb:-10.133805307598339
Palabra:11's  Frec:1  LogProb:-10.133805307598339
Palabra:11a-2p  Frec:1  LogProb:-10.133805307598339
Palabra:11am  Frec:4  LogProb:-8.747510946478448
Palabra:11pm  Frec:3  LogProb:-9.035193018930228
Palabra:12/2006  Frec:1  LogProb:-10.133805307598339
Palabra:12/31  Frec:1  LogProb:-10.133805307598339
Palabra:125mg  Frec:1  LogProb:-10.133805307598339
Palabra:13-sided  Frec:3  LogProb:-9.035193018930228
Palabra:14th  Frec:3  LogProb:-9.035193018930228
Palabra:15-20  Frec:1  LogProb:-10.133805307598339
Palabra:16-04-2010  Frec:1  LogProb:-10.133805307598339
Palabra:160gb  Frec:1  LogProb:-10.133805307598339
Palabra:16F  Frec:1  LogProb:-10.133805307598339
Palabra:17th  Frec:4  LogProb:-8.747510946478448
Palabra:18+  Frec:1  LogProb:-10.133805307598339
Palabra:1800QZAK  Frec:3  LogProb:-9.035193018930228
Palabra:18r  Frec:1  LogProb:-10.133805307598339
Palabra:18th  Frec:1  LogProb:-10.133805307598339
Palabra:1900S  Frec:3  LogProb:-9.035193018930228
Palabra:1980-91  Frec:1  LogProb:-10.133805307598339
Palabra:19north's  Frec:1  LogProb:-10.133805307598339
Palabra:19th  Frec:1  LogProb:-10.133805307598339
Palabra:1one  Frec:1  LogProb:-10.133805307598339
Palabra:1st  Frec:9  LogProb:-7.9365807302621185
Palabra:2%  Frec:1  LogProb:-10.133805307598339
Palabra:2(  Frec:1  LogProb:-10.133805307598339
Palabra:2)  Frec:3  LogProb:-9.035193018930228
Palabra:2-3  Frec:4  LogProb:-8.747510946478448
Palabra:20-30cm  Frec:1  LogProb:-10.133805307598339
Palabra:20/txt  Frec:1  LogProb:-10.133805307598339
Palabra:20080121-366383  Frec:1  LogProb:-10.133805307598339
Palabra:20min  Frec:1  LogProb:-10.133805307598339
Palabra:20yrs  Frec:1  LogProb:-10.133805307598339
Palabra:22AM  Frec:4  LogProb:-8.747510946478448
Palabra:22nd<3  Frec:1  LogProb:-10.133805307598339
Palabra:24/7  Frec:1  LogProb:-10.133805307598339
Palabra:24th  Frec:1  LogProb:-10.133805307598339
Palabra:25K  Frec:3  LogProb:-9.035193018930228
Palabra:25th  Frec:4  LogProb:-8.747510946478448
Palabra:26th  Frec:4  LogProb:-8.747510946478448
Palabra:27th  Frec:1  LogProb:-10.133805307598339
Palabra:29-5-4  Frec:3  LogProb:-9.035193018930228
Palabra:29th  Frec:1  LogProb:-10.133805307598339
Palabra:2am  Frec:1  LogProb:-10.133805307598339
Palabra:2b  Frec:5  LogProb:-8.524367395164237
Palabra:2bits  Frec:3  LogProb:-9.035193018930228
