Número de documentos del corpus:9688
Número de palabras del corpus:122432
Palabra:*lol*  Frec:2  LogProb:-11.116677745911673
Palabra:*lover  Frec:2  LogProb:-11.116677745911673
Palabra:*MY*  Frec:2  LogProb:-11.116677745911673
Palabra:*Nikki  Frec:2  LogProb:-11.116677745911673
Palabra:*not*  Frec:2  LogProb:-11.116677745911673
Palabra:*pats  Frec:2  LogProb:-11.116677745911673
Palabra:*phoebe  Frec:2  LogProb:-11.116677745911673
Palabra:*POOF*  Frec:2  LogProb:-11.116677745911673
Palabra:*raises  Frec:2  LogProb:-11.116677745911673
Palabra:*RAWR*  Frec:2  LogProb:-11.116677745911673
Palabra:*rolls  Frec:2  LogProb:-11.116677745911673
Palabra:*runs  Frec:2  LogProb:-11.116677745911673
Palabra:*scrolling*  Frec:2  LogProb:-11.116677745911673
Palabra:*shakes  Frec:2  LogProb:-11.116677745911673
Palabra:*shrug*  Frec:3  LogProb:-10.711212637803508
Palabra:*shuns*  Frec:2  LogProb:-11.116677745911673
Palabra:*sigh*  Frec:6  LogProb:-10.018065457243564
Palabra:*slinks  Frec:2  LogProb:-11.116677745911673
Palabra:*smiling*  Frec:2  LogProb:-11.116677745911673
Palabra:*snicker*  Frec:2  LogProb:-11.116677745911673
Palabra:*SUCKS*  Frec:2  LogProb:-11.116677745911673
Palabra:*sure*  Frec:2  LogProb:-11.116677745911673
Palabra:*take  Frec:2  LogProb:-11.116677745911673
Palabra:*tearsz*  Frec:2  LogProb:-11.116677745911673
Palabra:*that  Frec:2  LogProb:-11.116677745911673
Palabra:*thinkin*  Frec:2  LogProb:-11.116677745911673
Palabra:*touches  Frec:2  LogProb:-11.116677745911673
Palabra:*Wannabe*  Frec:2  LogProb:-11.116677745911673
Palabra:*was*  Frec:2  LogProb:-11.116677745911673
Palabra:*wear*  Frec:2  LogProb:-11.116677745911673
Palabra:*wearr  Frec:2  LogProb:-11.116677745911673
Palabra:*whistling  Frec:2  LogProb:-11.116677745911673
Palabra:*wink  Frec:2  LogProb:-11.116677745911673
Palabra:*yawn*  Frec:2  LogProb:-11.116677745911673
Palabra:*you're*  Frec:2  LogProb:-11.116677745911673
Palabra:*you*  Frec:3  LogProb:-10.711212637803508
Palabra:*ywan*  Frec:2  LogProb:-11.116677745911673
Palabra:+  Frec:28  LogProb:-8.477620416296414
Palabra:+$  Frec:2  LogProb:-11.116677745911673
Palabra:+0  Frec:2  LogProb:-11.116677745911673
Palabra:+1  Frec:2  LogProb:-11.116677745911673
Palabra:+2  Frec:2  LogProb:-11.116677745911673
Palabra:+H  Frec:3  LogProb:-10.711212637803508
Palabra:+hrobb  Frec:2  LogProb:-11.116677745911673
Palabra:+prior  Frec:2  LogProb:-11.116677745911673
Palabra:-  Frec:10  LogProb:-9.507239833477573
Palabra:-(  Frec:13  LogProb:-9.244875569010082
Palabra:-)  Frec:53  LogProb:-7.839533012919496
Palabra:--  Frec:14  LogProb:-9.17076759685636
Palabra:---  Frec:6  LogProb:-10.018065457243564
Palabra:--I'm  Frec:2  LogProb:-11.116677745911673
Palabra:--Sam  Frec:2  LogProb:-11.116677745911673
Palabra:-0  Frec:2  LogProb:-11.116677745911673
Palabra:-1  Frec:2  LogProb:-11.116677745911673
Palabra:-10  Frec:2  LogProb:-11.116677745911673
Palabra:-5  Frec:2  LogProb:-11.116677745911673
Palabra:->>  Frec:2  LogProb:-11.116677745911673
Palabra:-_-  Frec:5  LogProb:-10.200387014037517
Palabra:-_-'  Frec:2  LogProb:-11.116677745911673
Palabra:-__-  Frec:2  LogProb:-11.116677745911673
Palabra:-AkA-  Frec:2  LogProb:-11.116677745911673
Palabra:-ChloroformGRL  Frec:2  LogProb:-11.116677745911673
Palabra:-D  Frec:2  LogProb:-11.116677745911673
Palabra:-dakota  Frec:2  LogProb:-11.116677745911673
Palabra:-Haa  Frec:2  LogProb:-11.116677745911673
Palabra:-Hellz  Frec:2  LogProb:-11.116677745911673
Palabra:-jack-ass  Frec:2  LogProb:-11.116677745911673
Palabra:-KayCee  Frec:3  LogProb:-10.711212637803508
Palabra:-Kinly  Frec:2  LogProb:-11.116677745911673
Palabra:-NOT-  Frec:2  LogProb:-11.116677745911673
Palabra:-P  Frec:4  LogProb:-10.423530565351728
Palabra:-question-  Frec:2  LogProb:-11.116677745911673
Palabra:-rape-  Frec:2  LogProb:-11.116677745911673
Palabra:-Remz  Frec:2  LogProb:-11.116677745911673
Palabra:-s  Frec:2  LogProb:-11.116677745911673
Palabra:-there  Frec:2  LogProb:-11.116677745911673
Palabra:-thread  Frec:2  LogProb:-11.116677745911673
Palabra:-with  Frec:2  LogProb:-11.116677745911673
Palabra:-woaahhhhhh  Frec:2  LogProb:-11.116677745911673
Palabra:/  Frec:45  LogProb:-8.003162436701299
Palabra://refinedgeek  Frec:2  LogProb:-11.116677745911673
Palabra:/deadpoor  Frec:2  LogProb:-11.116677745911673
Palabra:/fuck/  Frec:2  LogProb:-11.116677745911673
Palabra:/nerd  Frec:3  LogProb:-10.711212637803508
Palabra:/u00bfPodru00edais  Frec:2  LogProb:-11.116677745911673
Palabra:00/tweet  Frec:2  LogProb:-11.116677745911673
Palabra:00pm  Frec:2  LogProb:-11.116677745911673
Palabra:0_0  Frec:2  LogProb:-11.116677745911673
Palabra:0_o  Frec:2  LogProb:-11.116677745911673
Palabra:0N  Frec:2  LogProb:-11.116677745911673
Palabra:0rq  Frec:3  LogProb:-10.711212637803508
Palabra:0the  Frec:2  LogProb:-11.116677745911673
Palabra:0u$  Frec:2  LogProb:-11.116677745911673
Palabra:1-10  Frec:4  LogProb:-10.423530565351728
Palabra:1-5  Frec:3  LogProb:-10.711212637803508
Palabra:1-800-  Frec:2  LogProb:-11.116677745911673
Palabra:1/2  Frec:3  LogProb:-10.711212637803508
Palabra:1/3  Frec:2  LogProb:-11.116677745911673
Palabra:100%  Frec:3  LogProb:-10.711212637803508
Palabra:1000+questions  Frec:2  LogProb:-11.116677745911673
Palabra:100s  Frec:2  LogProb:-11.116677745911673
Palabra:101s  Frec:2  LogProb:-11.116677745911673
Palabra:10ish  Frec:2  LogProb:-11.116677745911673
Palabra:10th  Frec:2  LogProb:-11.116677745911673
Palabra:11's  Frec:2  LogProb:-11.116677745911673
Palabra:11a-2p  Frec:2  LogProb:-11.116677745911673
Palabra:12/2006  Frec:2  LogProb:-11.116677745911673
Palabra:12/31  Frec:2  LogProb:-11.116677745911673
Palabra:125mg  Frec:2  LogProb:-11.116677745911673
Palabra:15-20  Frec:2  LogProb:-11.116677745911673
Palabra:16-04-2010  Frec:2  LogProb:-11.116677745911673
Palabra:160gb  Frec:2  LogProb:-11.116677745911673
Palabra:16F  Frec:2  LogProb:-11.116677745911673
Palabra:17th  Frec:3  LogProb:-10.711212637803508
Palabra:18+  Frec:2  LogProb:-11.116677745911673
Palabra:18r  Frec:2  LogProb:-11.116677745911673
Palabra:18th  Frec:2  LogProb:-11.116677745911673
Palabra:1980-91  Frec:2  LogProb:-11.116677745911673
Palabra:19north's  Frec:2  LogProb:-11.116677745911673
Palabra:19th  Frec:2  LogProb:-11.116677745911673
Palabra:1one  Frec:2  LogProb:-11.116677745911673
Palabra:1st  Frec:5  LogProb:-10.200387014037517
Palabra:2%  Frec:4  LogProb:-10.423530565351728
Palabra:2(  Frec:2  LogProb:-11.116677745911673
Palabra:20-30cm  Frec:2  LogProb:-11.116677745911673
Palabra:20/txt  Frec:2  LogProb:-11.116677745911673
Palabra:20080121-366383  Frec:2  LogProb:-11.116677745911673
Palabra:20min  Frec:2  LogProb:-11.116677745911673
Palabra:20yrs  Frec:2  LogProb:-11.116677745911673
Palabra:22nd<3  Frec:2  LogProb:-11.116677745911673
Palabra:24/7  Frec:5  LogProb:-10.200387014037517
Palabra:24th  Frec:2  LogProb:-11.116677745911673
Palabra:27th  Frec:2  LogProb:-11.116677745911673
Palabra:29th  Frec:2  LogProb:-11.116677745911673
Palabra:2am  Frec:3  LogProb:-10.711212637803508
Palabra:2b  Frec:2  LogProb:-11.116677745911673
Palabra:2day  Frec:7  LogProb:-9.863914777416305
Palabra:2day-i  Frec:2  LogProb:-11.116677745911673
Palabra:2days  Frec:3  LogProb:-10.711212637803508
Palabra:2gether  Frec:2  LogProb:-11.116677745911673
Palabra:2give  Frec:2  LogProb:-11.116677745911673
Palabra:2go  Frec:2  LogProb:-11.116677745911673
Palabra:2inches  Frec:2  LogProb:-11.116677745911673
Palabra:2K9  Frec:3  LogProb:-10.711212637803508
Palabra:2lb  Frec:2  LogProb:-11.116677745911673
Palabra:2many  Frec:2  LogProb:-11.116677745911673
Palabra:2mch  Frec:2  LogProb:-11.116677745911673
Palabra:2mmr  Frec:2  LogProb:-11.116677745911673
Palabra:2MORW  Frec:2  LogProb:-11.116677745911673
Palabra:2much  Frec:3  LogProb:-10.711212637803508
Palabra:2nd  Frec:7  LogProb:-9.863914777416305
Palabra:2night  Frec:3  LogProb:-10.711212637803508
Palabra:2nite  Frec:4  LogProb:-10.423530565351728
Palabra:2O1O<3  Frec:2  LogProb:-11.116677745911673
Palabra:2PM  Frec:2  LogProb:-11.116677745911673
Palabra:2times  Frec:2  LogProb:-11.116677745911673
Palabra:2to  Frec:2  LogProb:-11.116677745911673
Palabra:3-4  Frec:3  LogProb:-10.711212637803508
Palabra:3-6  Frec:2  LogProb:-11.116677745911673
Palabra:30's  Frec:2  LogProb:-11.116677745911673
Palabra:300$  Frec:2  LogProb:-11.116677745911673
Palabra:300+  Frec:2  LogProb:-11.116677745911673
Palabra:30in  Frec:2  LogProb:-11.116677745911673
Palabra:30pm  Frec:2  LogProb:-11.116677745911673
Palabra:30something  Frec:2  LogProb:-11.116677745911673
Palabra:30th  Frec:2  LogProb:-11.116677745911673
Palabra:36-exposure  Frec:2  LogProb:-11.116677745911673
Palabra:360gb's  Frec:2  LogProb:-11.116677745911673
Palabra:38C  Frec:2  LogProb:-11.116677745911673
Palabra:3am  Frec:2  LogProb:-11.116677745911673
Palabra:3C  Frec:2  LogProb:-11.116677745911673
Palabra:3D  Frec:2  LogProb:-11.116677745911673
Palabra:3oh  Frec:3  LogProb:-10.711212637803508
Palabra:3rd  Frec:5  LogProb:-10.200387014037517
Palabra:3v  Frec:3  LogProb:-10.711212637803508
Palabra:3xc3rc  Frec:2  LogProb:-11.116677745911673
Palabra:4%  Frec:2  LogProb:-11.116677745911673
Palabra:4-  Frec:2  LogProb:-11.116677745911673
Palabra:4-5  Frec:2  LogProb:-11.116677745911673
Palabra:4/20  Frec:2  LogProb:-11.116677745911673
Palabra:40am  Frec:2  LogProb:-11.116677745911673
Palabra:46-49  Frec:2  LogProb:-11.116677745911673
Palabra:4got  Frec:2  LogProb:-11.116677745911673
Palabra:4me  Frec:2  LogProb:-11.116677745911673
Palabra:4pm  Frec:2  LogProb:-11.116677745911673
Palabra:4rm  Frec:2  LogProb:-11.116677745911673
Palabra:4sho  Frec:2  LogProb:-11.116677745911673
Palabra:4shuree  Frec:2  LogProb:-11.116677745911673
Palabra:4suree  Frec:2  LogProb:-11.116677745911673
Palabra:4WD  Frec:2  LogProb:-11.116677745911673
Palabra:5%  Frec:3  LogProb:-10.711212637803508
Palabra:5'1  Frec:2  LogProb:-11.116677745911673
Palabra:5'6  Frec:2  LogProb:-11.116677745911673
Palabra:5'9  Frec:2  LogProb:-11.116677745911673
Palabra:5-14  Frec:2  LogProb:-11.116677745911673
Palabra:50%  Frec:2  LogProb:-11.116677745911673
Palabra:50's  Frec:3  LogProb:-10.711212637803508
Palabra:5000k  Frec:2  LogProb:-11.116677745911673
Palabra:50cent  Frec:2  LogProb:-11.116677745911673
Palabra:512k  Frec:2  LogProb:-11.116677745911673
Palabra:52nd  Frec:2  LogProb:-11.116677745911673
Palabra:53x  Frec:2  LogProb:-11.116677745911673
Palabra:54pm  Frec:2  LogProb:-11.116677745911673
Palabra:5am  Frec:2  LogProb:-11.116677745911673
Palabra:5yrs  Frec:2  LogProb:-11.116677745911673
Palabra:6'0  Frec:2  LogProb:-11.116677745911673
Palabra:6-2  Frec:2  LogProb:-11.116677745911673
Palabra:6-year-old  Frec:2  LogProb:-11.116677745911673
Palabra:60's  Frec:2  LogProb:-11.116677745911673
