Número de documentos del corpus:6741
Número de palabras del corpus:96154
Palabra:alley  Frec:4  LogProb:-10.206273731502534
Palabra:allow  Frec:6  LogProb:-9.80080862339437
Palabra:allowed  Frec:9  LogProb:-9.395343515286205
Palabra:allston  Frec:4  LogProb:-10.206273731502534
Palabra:allz  Frec:4  LogProb:-10.206273731502534
Palabra:almosr  Frec:4  LogProb:-10.206273731502534
Palabra:almost  Frec:4  LogProb:-10.206273731502534
Palabra:alone  Frec:4  LogProb:-10.206273731502534
Palabra:alone(  Frec:2  LogProb:-10.89942091206248
Palabra:along  Frec:4  LogProb:-10.206273731502534
Palabra:along-  Frec:4  LogProb:-10.206273731502534
Palabra:Alors  Frec:3  LogProb:-10.493955803954316
Palabra:ALOT  Frec:11  LogProb:-9.194672819824055
Palabra:Alpha  Frec:3  LogProb:-10.493955803954316
Palabra:Already  Frec:37  LogProb:-7.9816501799782005
Palabra:alright  Frec:18  LogProb:-8.70219633472626
Palabra:alseep  Frec:4  LogProb:-10.206273731502534
Palabra:Also  Frec:60  LogProb:-7.498223530400324
Palabra:alt  Frec:4  LogProb:-10.206273731502534
Palabra:alter  Frec:3  LogProb:-10.493955803954316
Palabra:altho  Frec:4  LogProb:-10.206273731502534
Palabra:although  Frec:6  LogProb:-9.80080862339437
Palabra:alto  Frec:4  LogProb:-10.206273731502534
Palabra:Alton-Darby  Frec:4  LogProb:-10.206273731502534
Palabra:Always  Frec:74  LogProb:-7.288502999418255
Palabra:alwaysthink  Frec:3  LogProb:-10.493955803954316
Palabra:alwayz  Frec:2  LogProb:-10.89942091206248
Palabra:AM  Frec:143  LogProb:-6.629723462362517
Palabra:AMASING  Frec:4  LogProb:-10.206273731502534
Palabra:amazed  Frec:4  LogProb:-10.206273731502534
Palabra:Amazing  Frec:18  LogProb:-8.70219633472626
Palabra:amazingly  Frec:6  LogProb:-9.80080862339437
Palabra:amber  Frec:2  LogProb:-10.89942091206248
Palabra:Amen  Frec:3  LogProb:-10.493955803954316
Palabra:American  Frec:4  LogProb:-10.206273731502534
Palabra:ami  Frec:4  LogProb:-10.206273731502534
Palabra:among  Frec:3  LogProb:-10.493955803954316
Palabra:Amor  Frec:4  LogProb:-10.206273731502534
Palabra:amount  Frec:2  LogProb:-10.89942091206248
Palabra:amounts  Frec:3  LogProb:-10.493955803954316
Palabra:amuse  Frec:2  LogProb:-10.89942091206248
Palabra:amuses  Frec:4  LogProb:-10.206273731502534
Palabra:AN  Frec:153  LogProb:-6.56213017122999
Palabra:anal  Frec:4  LogProb:-10.206273731502534
Palabra:anally  Frec:3  LogProb:-10.493955803954316
Palabra:analyzing  Frec:3  LogProb:-10.493955803954316
Palabra:And  Frec:46  LogProb:-7.76392669613333
Palabra:andre  Frec:6  LogProb:-9.80080862339437
Palabra:andrew  Frec:5  LogProb:-9.983130180188324
Palabra:ange  Frec:4  LogProb:-10.206273731502534
Palabra:Angel  Frec:3  LogProb:-10.493955803954316
Palabra:Angelina  Frec:4  LogProb:-10.206273731502534
Palabra:Angels  Frec:4  LogProb:-10.206273731502534
Palabra:ANGIE  Frec:4  LogProb:-10.206273731502534
Palabra:Angry  Frec:15  LogProb:-8.884517891520215
Palabra:animal  Frec:10  LogProb:-9.28998299962838
Palabra:animals  Frec:4  LogProb:-10.206273731502534
Palabra:animated  Frec:3  LogProb:-10.493955803954316
Palabra:animatronic  Frec:4  LogProb:-10.206273731502534
Palabra:anime  Frec:4  LogProb:-10.206273731502534
Palabra:anna  Frec:7  LogProb:-9.646657943567112
Palabra:annd  Frec:2  LogProb:-10.89942091206248
Palabra:annoying  Frec:13  LogProb:-9.027618735160889
Palabra:annoys  Frec:4  LogProb:-10.206273731502534
Palabra:anonamis  Frec:2  LogProb:-10.89942091206248
Palabra:Anonymous  Frec:5  LogProb:-9.983130180188324
Palabra:ANONYMUS  Frec:2  LogProb:-10.89942091206248
Palabra:another  Frec:8  LogProb:-9.513126550942589
Palabra:answer  Frec:2  LogProb:-10.89942091206248
Palabra:answered  Frec:3  LogProb:-10.493955803954316
Palabra:anthem  Frec:4  LogProb:-10.206273731502534
Palabra:anti  Frec:4  LogProb:-10.206273731502534
Palabra:antibiotics  Frec:4  LogProb:-10.206273731502534
Palabra:antlers  Frec:4  LogProb:-10.206273731502534
Palabra:Antrel  Frec:3  LogProb:-10.493955803954316
Palabra:antsy  Frec:4  LogProb:-10.206273731502534
